18:21:13.319 0 zb_scheduler.c:115	0x564fd561c450 calling cb 0x564fd540b7e2 param 3 in_b 0 len 0
18:21:13.319 0 mac_scan.c:67	>> zb_handle_scan_request
18:21:13.319 0 mac_scan.c:360	>> zb_mlme_active_scan
18:21:13.319 0 mac_scan.c:365	idle state, set beacon found == 0
18:21:13.319 0 mac_scan.c:372	set beacon mode ret 0, param channels 0x1800
18:21:13.319 0 mac_scan.c:385	chan mask 1800 0 , chan 11
18:21:13.319 0 zb_scheduler.c:254	0x564fd561c460 scheduled cb 0x564fd540bc4e param 0 (in_b 255)
18:21:13.319 0 mac_scan.c:387	<< zb_mlme_active_scan, ret 0
18:21:13.319 0 mac_scan.c:92	<< zb_handle_scan_request i
18:21:13.319 0 zb_scheduler.c:105	cb_q written 1, read_i 6, write_i 7
18:21:13.319 0 zb_scheduler.c:115	0x564fd561c460 calling cb 0x564fd540bc4e param 0 in_b 255 len -1
18:21:13.319 0 mac_scan.c:208	>> zb_mlme_scan_step
18:21:13.319 0 mac_scan.c:257	set channel 11
18:21:13.319 0 mac_routines.c:225	+zb_beacon_request_command
18:21:13.319 0 mac.c:578	>>mac_fill_mhr
18:21:13.319 0 mac.c:629	<<mac_fill_mhr
18:21:13.319 0 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x564fd561c9b0
18:21:13.319 0 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #1 buf 0x564fd561c9b0 / 0 in_b 0 (size 11) is_w 1
18:21:13.319 0 zb_mac_transport_linux_pipes.c:182	t: start 1557933673; t 1557933673 319746, time 20
18:21:13.319 0 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:13.319 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:13.319 0 zb_mac_transport_linux_pipes.c:381	open wpipe /tmp/zt0.read. wait if nessesary
18:21:13.321 0 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
18:21:13.321 0 zb_mac_transport_linux_pipes.c:93	0B 03 08 F9 FF FF FF FF 07 E8 CC 
18:21:13.321 0 zb_mac_transport_linux_pipes.c:446	out buffer is sent
18:21:13.321 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
18:21:13.321 0 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
18:21:13.321 0 mac_routines.c:272	<< zb_beacon_request_command ret 0
18:21:13.321 0 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c708
18:21:13.321 0 zb_scheduler.c:294	0x564fd561c708 scheduled alarm 0x564fd540bc4e, run_after 257, at 257, param 0
18:21:13.321 0 zb_scheduler.c:349	cur t 0, head t 130
18:21:13.321 0 mac_scan.c:338	<< zb_mlme_scan_step
18:21:13.321 0 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:13.321 0 zb_mac_transport_linux_pipes.c:485	open rpipe 6. ret 0
18:21:13.321 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:13.321 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:13.322 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:13.322 0 zb_mac_transport_linux_pipes.c:513	timer stop 130 timer 0  tmo 130
18:21:13.322 0 zb_mac_transport_linux_pipes.c:529	select() timeout 1.989000
18:21:15.313 0 zb_mac_transport_linux_pipes.c:548	delta 1992 (130)
18:21:15.313 130 zb_mac_transport_linux_pipes.c:569	timer 130, delta_rest 0
18:21:15.313 130 zb_mac_transport_linux_pipes.c:590	timeout
18:21:15.313 130 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:15.313 130 zb_scheduler.c:145	0x564fd561c748 calling alarm cb 0x564fd53f4c5f param 0
18:21:15.313 130 nwk_cr_mesh_routing.c:736	>> exp_r_disc
18:21:15.313 130 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c6e8
18:21:15.313 130 zb_scheduler.c:294	0x564fd561c6e8 scheduled alarm 0x564fd53f4c5f, run_after 130, at 260, param 0
18:21:15.313 130 zb_scheduler.c:349	cur t 130, head t 257
18:21:15.313 130 nwk_cr_mesh_routing.c:784	<< exp_r_disc
18:21:15.313 130 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:15.313 130 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:15.313 130 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:15.313 130 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:15.313 130 zb_mac_transport_linux_pipes.c:524	default timeout 1
18:21:15.313 130 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
18:21:16.315 130 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
18:21:16.316 195 zb_mac_transport_linux_pipes.c:569	timer 195, delta_rest 0
18:21:16.316 195 zb_mac_transport_linux_pipes.c:590	timeout
18:21:16.316 195 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:16.316 195 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:16.316 195 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:16.316 195 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:16.316 195 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:16.316 195 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 195  tmo 62
18:21:16.316 195 zb_mac_transport_linux_pipes.c:529	select() timeout 0.948000
18:21:17.265 195 zb_mac_transport_linux_pipes.c:548	delta 950 (62)
18:21:17.266 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
18:21:17.266 257 zb_mac_transport_linux_pipes.c:590	timeout
18:21:17.266 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
18:21:17.266 257 zb_scheduler.c:145	0x564fd561c708 calling alarm cb 0x564fd540bc4e param 0
18:21:17.266 257 mac_scan.c:208	>> zb_mlme_scan_step
18:21:17.266 257 mac_scan.c:257	set channel 12
18:21:17.266 257 mac_routines.c:225	+zb_beacon_request_command
18:21:17.266 257 mac.c:578	>>mac_fill_mhr
18:21:17.266 257 mac.c:629	<<mac_fill_mhr
18:21:17.266 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x564fd561c9b0
18:21:17.266 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #2 buf 0x564fd561c9b0 / 0 in_b 0 (size 11) is_w 1
18:21:17.266 257 zb_mac_transport_linux_pipes.c:182	t: start 1557933673; t 1557933677 266468, time 278
18:21:17.266 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
18:21:17.266 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:17.266 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
18:21:17.266 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 FA FF FF FF FF 07 95 C0 
18:21:17.266 257 zb_mac_transport_linux_pipes.c:446	out buffer is sent
18:21:17.266 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 11
18:21:17.266 257 zb_mac_transport_linux_pipes.c:225	<<zb_mac_put_data ret
18:21:17.266 257 mac_routines.c:272	<< zb_beacon_request_command ret 0
18:21:17.266 257 zb_scheduler.c:283	tm_freelist, get nent 0x564fd561c748
18:21:17.267 257 zb_scheduler.c:294	0x564fd561c748 scheduled alarm 0x564fd540bc4e, run_after 257, at 514, param 0
18:21:17.267 257 zb_scheduler.c:349	cur t 257, head t 260
18:21:17.267 257 mac_scan.c:338	<< zb_mlme_scan_step
