18:21:25.361 257 zb_scheduler.c:115	0x55568237a420 calling cb 0x555682156ded param 4 in_b 1 len 37
18:21:25.361 257 nwk_discovery.c:151	>>zb_mlme_beacon_notify_indication 4
18:21:25.361 257 mac_common.c:79	>>zb_parse_mhr mhr 0x7fff1b089db0, ptr 0x55568237ac54
18:21:25.362 257 mac_common.c:89	dst addr mode: 0
18:21:25.362 257 mac_common.c:108	src addr mode: 2
18:21:25.362 257 mac_common.c:173	<< zb_parse_mhr, ret val 7
18:21:25.362 257 nwk_discovery.c:184	beacon payload 0x55568237ac5f: protocol id 0, version 2, stack profile 1
18:21:25.362 257 zb_address.c:95	>>zb_address_add_pan_id short_pan_id 33529 pan_id 8.0.0.0.0.0.0.0 ref 0x7fff1b089d88
18:21:25.362 257 zb_address.c:98	start search pan_id reference from h_i 5
18:21:25.362 257 zb_address.c:134	pan_id ref after find free place 4
18:21:25.362 257 zb_address.c:148	<<zb_address_add_pan_id 0
18:21:25.362 257 nwk_neighbor.c:373	>>exnb_by_short pan 4, addr 0, enbt 0x7fff1b089d90
18:21:25.362 257 nwk_neighbor.c:387	try alloc
18:21:25.362 257 nwk_neighbor.c:443	>>alloc_new_extnb pan 4 addr 0 enbt 0x7fff1b089d90
18:21:25.362 257 nwk_neighbor.c:455	allocated ext ent 0x55568237b730 new used 1
18:21:25.362 257 nwk_neighbor.c:462	<<alloc_new_extnb 0
18:21:25.362 257 nwk_neighbor.c:390	<<exnb_by_short 0
18:21:25.362 257 nwk_discovery.c:258	ch 12
18:21:25.362 257 nwk_discovery.c:343	zb_free_buf: zb_mlme_beacon_notify_indication
18:21:25.362 257 zb_bufpool.c:234	=================
18:21:25.362 257 zb_bufpool.c:235	FREE BUF 0x55568237ac10 
18:21:25.362 257 zb_bufpool.c:236	ref 4
18:21:25.362 257 zb_bufpool.c:237	allocated 0: 3
18:21:25.362 257 zb_bufpool.c:238	allocated 1: 1
18:21:25.362 257 zb_bufpool.c:239	=================
18:21:25.362 257 zb_bufpool.c:268	free_buf: 1/3 buf 0x55568237ac10, next 0x55568237acb0, head 0x55568237ac10
18:21:25.362 257 nwk_discovery.c:348	<<zb_mlme_beacon_notify_indication
18:21:25.362 257 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
18:21:25.362 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
18:21:25.363 257 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
18:21:25.363 257 zb_mac_transport_linux_pipes.c:507	timer started = 1
18:21:25.363 257 zb_mac_transport_linux_pipes.c:524	default timeout 1
18:21:25.363 257 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
18:21:26.364 257 zb_mac_transport_linux_pipes.c:548	delta 1004 (65)
18:21:26.365 323 zb_mac_transport_linux_pipes.c:569	timer 323, delta_rest 0
18:21:26.365 323 zb_mac_transport_linux_pipes.c:590	timeout
