10:22:20.894 0 zb_mac_transport_linux_pipes.c:485	open rpipe 6. ret 0
10:22:20.894 0 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:20.894 0 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:20.894 0 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:20.894 0 zb_mac_transport_linux_pipes.c:513	timer stop 130 timer 0  tmo 130
10:22:20.894 0 zb_mac_transport_linux_pipes.c:529	select() timeout 1.989000
10:22:22.884 0 zb_mac_transport_linux_pipes.c:548	delta 1990 (130)
10:22:22.885 130 zb_mac_transport_linux_pipes.c:569	timer 130, delta_rest 0
10:22:22.885 130 zb_mac_transport_linux_pipes.c:590	timeout
10:22:22.885 130 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:22.885 130 zb_scheduler.c:145	0x561413aa2788 calling alarm cb 0x56141387ad76 param 0
10:22:22.885 130 nwk_cr_mesh_routing.c:736	>> exp_r_disc
10:22:22.885 130 zb_scheduler.c:283	tm_freelist, get nent 0x561413aa2728
10:22:22.885 130 zb_scheduler.c:294	0x561413aa2728 scheduled alarm 0x56141387ad76, run_after 130, at 260, param 0
10:22:22.885 130 zb_scheduler.c:349	cur t 130, head t 257
10:22:22.885 130 nwk_cr_mesh_routing.c:784	<< exp_r_disc
10:22:22.885 130 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:22.885 130 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:22.885 130 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:22.885 130 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:22.885 130 zb_mac_transport_linux_pipes.c:524	default timeout 1
10:22:22.885 130 zb_mac_transport_linux_pipes.c:529	select() timeout 1.0
10:22:23.886 130 zb_mac_transport_linux_pipes.c:548	delta 1002 (65)
10:22:23.886 195 zb_mac_transport_linux_pipes.c:569	timer 195, delta_rest 0
10:22:23.886 195 zb_mac_transport_linux_pipes.c:590	timeout
10:22:23.886 195 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:23.886 195 zb_mac_transport_linux_pipes.c:477	>>zb_mac_wait_for_ext_event
10:22:23.886 195 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:23.886 195 zb_mac_transport_linux_pipes.c:458	<<write_to_pipe 0
10:22:23.886 195 zb_mac_transport_linux_pipes.c:507	timer started = 1
10:22:23.886 195 zb_mac_transport_linux_pipes.c:513	timer stop 257 timer 195  tmo 62
10:22:23.886 195 zb_mac_transport_linux_pipes.c:529	select() timeout 0.948000
10:22:24.835 195 zb_mac_transport_linux_pipes.c:548	delta 950 (62)
10:22:24.835 257 zb_mac_transport_linux_pipes.c:569	timer 257, delta_rest 0
10:22:24.835 257 zb_mac_transport_linux_pipes.c:590	timeout
10:22:24.835 257 zb_mac_transport_linux_pipes.c:603	<<zb_mac_wait_for_ext_event 0
10:22:24.835 257 zb_scheduler.c:145	0x561413aa2748 calling alarm cb 0x561413891d65 param 0
10:22:24.835 257 mac_scan.c:208	>> zb_mlme_scan_step
10:22:24.835 257 mac_scan.c:257	set channel 12
10:22:24.835 257 mac_routines.c:225	+zb_beacon_request_command
10:22:24.835 257 mac.c:578	>>mac_fill_mhr
10:22:24.835 257 mac.c:629	<<mac_fill_mhr
10:22:24.835 257 zb_mac_transport_linux_pipes.c:199	>>zb_mac_put_data buf 0x561413aa29f0
10:22:24.835 257 zb_mac_transport_linux_pipes.c:149	>>zb_mac_traffic_dump #2 buf 0x561413aa29f0 / 0 in_b 0 (size 11) is_w 1
10:22:24.835 257 zb_mac_transport_linux_pipes.c:182	t: start 1558250540; t 1558250544 835784, time 316
10:22:24.835 257 zb_mac_transport_linux_pipes.c:192	<<zb_mac_traffic_dump
10:22:24.835 257 zb_mac_transport_linux_pipes.c:373	>>write_to_pipe
10:22:24.835 257 zb_mac_transport_linux_pipes.c:79	written: len 11 total 11
10:22:24.835 257 zb_mac_transport_linux_pipes.c:93	0B 03 08 3A FF FF FF FF 07 E6 C7 
10:22:24.835 257 zb_mac_transport_linux_pipes.c:446	out buffer is sent
